model,oem,network_edge,weight,display_size,height,width,depth,battery,launch.year,launch.day,launch.month
800 Tough,Nokia,nan,161.0,6.096,145.4,62.1,16.1,11.036860446673046,2019.0,5.0,9.0
2720 Flip,Nokia,nan,118.0,7.111999999999999,192.7,54.5,11.6,10.55170826162069,2019.0,5.0,9.0
220 4G,Nokia,No,86.5,6.096,121.3,52.9,13.4,10.230020435705635,2019.0,24.0,7.0
110 (2019),Nokia,No,75.0,4.4958,115.2,49.9,14.3,9.64565843240871,2019.0,,9.0
105 (2019),Nokia,No,73.0,4.4958,119.0,49.2,14.4,9.64565843240871,2019.0,,7.0
3.1 C,Nokia,nan,156.0,13.843,152.7,71.9,9.4,11.546412195119352,2019.0,,6.0
3.1 A,Nokia,nan,156.0,13.843,152.7,71.9,9.4,11.546412195119352,2019.0,,6.0
2.2,Nokia,nan,153.0,14.503400000000001,146.0,70.6,9.3,11.551227603598289,2019.0,6.0,6.0
X6 8GB (2010),Nokia,nan,122.0,8.128,111.0,51.0,13.8,10.367414751246828,2010.0,,6.0
X6 16GB (2010),Nokia,nan,122.0,8.128,111.0,51.0,13.8,10.367414751246828,2010.0,,1.0
X6 (2009),Nokia,nan,122.0,8.128,111.0,51.0,13.8,10.367414751246828,2009.0,,9.0
6131 NFC,Nokia,Class 10,104.0,5.588000000000001,92.0,47.0,20.0,9.749869427396844,2007.0,,2.0
8.1 Plus,Nokia,nan,,15.7988,,,,,,,
Cosmo,O2,Class 10,130.0,6.096,111.0,62.0,13.0,,2006.0,,9.0
XDA Orion,O2,Class 10,106.0,5.588000000000001,107.5,46.0,17.5,10.16867211813223,2005.0,,10.0
X1b,O2,No,86.0,,102.0,44.0,18.0,,2005.0,,5.0
XM,O2,No,91.0,,89.0,47.0,23.5,,2005.0,,5.0
X4,O2,nan,116.0,,89.9,45.1,24.0,,2004.0,,11.0
XDA IIs,O2,No,210.0,8.89,125.0,71.0,19.0,10.542064542283443,2004.0,,11.0
XDA IIi,O2,No,190.0,8.89,130.0,70.0,19.0,10.230020435705635,2004.0,,11.0
Xphone II,O2,No,102.0,5.588000000000001,107.0,44.0,18.0,,2004.0,,11.0
XDA II,O2,No,190.0,8.89,130.0,70.0,19.0,10.230020435705635,2003.0,,
Xphone,O2,No,130.0,5.588000000000001,120.0,50.0,24.0,9.967226258835993,2003.0,,
XDA,O2,No,201.0,8.89,129.0,73.0,18.0,,2003.0,,
8 5G UW (Verizon),OnePlus,nan,180.0,16.637,160.2,72.9,8.0,12.07045641594465,2020.0,14.0,4.0
8 5G (T-Mobile),OnePlus,nan,180.0,16.637,160.2,72.9,8.0,12.07045641594465,2020.0,14.0,4.0
7T Pro 5G McLaren,OnePlus,nan,206.0,16.9418,162.6,75.9,8.8,11.996473488733228,2019.0,23.0,10.0
